"study_outcome","gender","highest_education","age_band","cluster","intial.weeks..active","mid.weeks..active","late.weeks..active","sum_initial_weeks_clicks","total_students","sum_mid_weeks_clicks","sum_late_weeks_clicks","sum_x","sum_y","sum_all_weeks_clicks","weeks_active","sum_score","initial_weeks_clicks_per_student","mid_weeks_clicks_per_student","late_weeks_clicks_per_student","avg_clicks_per_student","percent_weeks_active","x","y","grade","gender_age_band","xposition","yposition","avg_score","score_bucket","gender_grade","group_id"
"Distinction","F","HE Qualification","35-55",1,1,1,1,33580,109,147221,32263,4.58007061565425,239.494849973992,213064,327,9420.30963203463,308,1351,296,1955,100,0.0420189964738922,2.19720045847699,"Pass","F - 35-55",20.0420189964739,7.19720045847699,86,"g60","F - g60","868162"
"Distinction","F","HE Qualification","35-55",3,1,1,1,32295,33,144827,19240,-119.416833247037,45.815039776135,196362,99,3039.51984126984,979,4389,583,5950,100,-3.61869191657687,1.38833453867076,"Pass","F - 35-55",16.3813080834231,6.38833453867076,92,"g60","F - g60","b0ed09"
"Distinction","F","HE Qualification","55<=",3,1,1,1,1219,1,5934,1180,-5.17433502038957,2.84770907884335,8333,3,98.5555555555556,1219,5934,1180,8333,100,-5.17433502038957,2.84770907884335,"Pass","F - 55<=",14.8256649796104,7.84770907884335,99,"g60","F - g60","72f681"
"Distinction","F","Lower Than A Level","0-35",1,0,1,1,0,5,1889,927,4.15773883215644,3.48082831184749,2816,10,425.055555555556,0,378,185,563,66.6666666666667,0.831547766431289,0.696165662369497,"Pass","F - 0-35",20.8315477664313,5.6961656623695,85,"g60","F - g60","159787"
"Distinction","F","Lower Than A Level","0-35",1,1,1,0,119,4,1164,0,4.65067843418776,2.84352925593872,1283,8,334.78373015873,30,291,0,321,66.6666666666667,1.16266960854694,0.71088231398468,"Pass","F - 0-35",21.1626696085469,5.71088231398468,84,"g60","F - g60","e554ac"
"Distinction","F","Lower Than A Level","0-35",1,1,1,1,31151,154,145445,25688,93.7284251900711,176.82273370581,202284,462,13176.8307720058,202,944,167,1314,100,0.608626137597865,1.14819956951825,"Pass","F - 0-35",20.6086261375979,6.14819956951825,86,"g60","F - g60","96eb13"
"Distinction","F","Lower Than A Level","0-35",2,1,1,1,8396,24,33823,8641,-12.5270332402439,15.5848687126282,50860,72,2039.07341269841,350,1409,360,2119,100,-0.521959718343497,0.649369529692843,"Pass","F - 0-35",19.4780402816565,5.64936952969284,85,"g60","F - g60","529f8e"
"Distinction","F","Lower Than A Level","0-35",3,1,1,1,8321,13,41316,8202,-32.0461835195507,6.37929263086315,57839,39,1158.41666666667,640,3178,631,4449,100,-2.46509103996543,0.490714817758704,"Pass","F - 0-35",17.5349089600346,5.4907148177587,89,"g60","F - g60","1e2824"
"Distinction","F","Lower Than A Level","35-55",1,0,1,1,0,2,1331,103,1.29596223731402,1.81101809219603,1434,4,168.444444444444,0,666,52,717,66.6666666666667,0.647981118657012,0.905509046098016,"Pass","F - 35-55",20.647981118657,5.90550904609802,84,"g60","F - g60","f588f1"
"Distinction","F","Lower Than A Level","35-55",1,1,1,0,397,3,978,0,3.32079714123717,4.6418404959127,1375,6,260.840909090909,132,326,0,458,66.6666666666667,1.10693238041239,1.54728016530423,"Pass","F - 35-55",21.1069323804124,6.54728016530423,87,"g60","F - g60","029894"
"Distinction","F","Lower Than A Level","35-55",1,1,1,1,32182,131,161884,21803,39.974425658933,210.675415402192,215869,393,11249.9518037518,246,1236,166,1648,100,0.305148287472771,1.60820927787933,"Pass","F - 35-55",20.3051482874728,6.60820927787933,86,"g60","F - g60","9be18b"
"Distinction","F","Lower Than A Level","35-55",2,1,1,1,2704,11,13967,1999,-2.75134311918541,10.4619124459132,18670,33,944.954365079365,246,1270,182,1697,100,-0.250122101744128,0.951082949628476,"Pass","F - 35-55",19.7498778982559,5.95108294962848,86,"g60","F - g60","6241a2"
"Distinction","F","Lower Than A Level","35-55",3,1,1,1,7031,9,34247,2880,-24.0378732845506,6.48945423287502,44158,27,774.182178932179,781,3805,320,4906,100,-2.67087480939451,0.721050470319446,"Pass","F - 35-55",17.3291251906055,5.72105047031945,86,"g60","F - g60","cf8726"
"Distinction","F","Lower Than A Level","55<=",1,1,1,1,737,1,3430,291,-1.58889561437244,2.37936091418938,4458,3,89,737,3430,291,4458,100,-1.58889561437244,2.37936091418938,"Pass","F - 55<=",18.4111043856276,7.37936091418938,89,"g60","F - g60","0b2f19"
"Distinction","F","No Formal quals","0-35",1,1,1,1,1558,6,6225,1074,2.20555140895446,11.4449642110299,8857,18,511.744155844156,260,1038,179,1476,100,0.36759190149241,1.90749403517165,"Pass","F - 0-35",20.3675919014924,6.90749403517165,85,"g60","F - g60","82e29b"
"Distinction","F","No Formal quals","35-55",1,1,1,1,22,1,955,47,0.172307177364867,1.2073225718719,1024,3,78.5555555555556,22,955,47,1024,100,0.172307177364867,1.2073225718719,"Pass","F - 35-55",20.1723071773649,6.2073225718719,79,"g60","F - g60","78549d"
"Distinction","F","Post Graduate Qualification","0-35",1,1,1,1,817,3,3014,1077,-0.074312824732723,5.26626185890568,4908,9,279.507936507937,272,1005,359,1636,100,-0.0247709415775743,1.75542061963523,"Pass","F - 0-35",19.9752290584224,6.75542061963523,93,"g60","F - g60","b1432a"
"Distinction","F","Post Graduate Qualification","0-35",3,1,1,1,1822,4,10033,1155,-6.66010386122139,2.98001545308699,13010,12,362.583333333333,456,2508,289,3252,100,-1.66502596530535,0.745003863271748,"Pass","F - 0-35",18.3349740346947,5.74500386327175,91,"g60","F - g60","fe2307"
"Distinction","F","Post Graduate Qualification","35-55",1,1,1,1,3546,13,14509,2800,0.36273075348469,27.2789903231265,20855,39,1173.82471139971,273,1116,215,1604,100,0.0279023656526684,2.09838387100973,"Pass","F - 35-55",20.0279023656527,7.09838387100973,90,"g60","F - g60","8226cc"
"Distinction","F","Post Graduate Qualification","35-55",3,1,1,1,1166,3,3847,666,-3.41220020836967,3.02025592190217,5679,9,276.972222222222,389,1282,222,1893,100,-1.13740006945656,1.00675197396739,"Pass","F - 35-55",18.8625999305434,6.00675197396739,92,"g60","F - g60","5d7c18"
"Distinction","M","A Level or Equivalent","0-35",1,1,1,0,1,1,122,0,1.07298141368699,0.549729031626456,123,2,92.2727272727273,1,122,0,123,66.6666666666667,1.07298141368699,0.549729031626456,"Pass","M - 0-35",21.072981413687,5.54972903162646,92,"g60","M - g60","11e919"
"Distinction","M","A Level or Equivalent","0-35",1,1,1,1,2095,19,6773,645,12.7941794006208,5.2626943338914,9513,57,1643.71020923521,110,356,34,501,100,0.673377863190569,0.276983912310073,"Pass","M - 0-35",20.6733778631906,5.27698391231007,87,"g60","M - g60","ebb9bc"
"Distinction","M","A Level or Equivalent","0-35",2,1,1,1,2630,12,11548,2760,-5.58311635263555,-2.33838293701369,16938,36,1036.0380952381,219,962,230,1412,100,-0.465259696052962,-0.194865244751141,"Pass","M - 0-35",19.534740303947,4.80513475524886,86,"g60","M - g60","2ffd2f"
"Distinction","M","A Level or Equivalent","0-35",3,0,1,1,0,3,899,252,-1.6777536972885,-4.76463248747563,1151,6,247.460317460317,0,300,84,384,66.6666666666667,-0.559251232429501,-1.58821082915854,"Pass","M - 0-35",19.4407487675705,3.41178917084146,82,"g60","M - g60","f7fe3f"
"Distinction","M","A Level or Equivalent","0-35",3,1,1,0,1112,3,5343,0,-3.44519457990071,-2.00260003245645,6455,6,267.055555555555,371,1781,0,2152,66.6666666666667,-1.14839819330024,-0.667533344152149,"Pass","M - 0-35",18.8516018066998,4.33246665584785,89,"g60","M - g60","6cc749"
"Distinction","M","A Level or Equivalent","0-35",3,1,1,1,240319,464,978090,172956,-958.15387706281,-277.273514014192,1391365,1392,41489.1782467532,518,2108,373,2999,100,-2.06498680401468,-0.597572228478863,"Pass","M - 0-35",17.9350131959853,4.40242777152114,89,"g60","M - g60","0c77e9"
"Distinction","M","A Level or Equivalent","35-55",1,1,1,0,92,2,701,0,1.76284137436853,1.58268023587827,793,4,161.2,46,350,0,396,66.6666666666667,0.881420687184266,0.791340117939137,"Pass","M - 35-55",20.8814206871843,5.79134011793914,81,"g60","M - g60","4e64a5"
"Distinction","M","A Level or Equivalent","35-55",1,1,1,1,300,3,2155,275,1.5337383923895,2.8754533840677,2730,9,255.036363636364,100,718,92,910,100,0.511246130796499,0.9584844613559,"Pass","M - 35-55",20.5112461307965,5.9584844613559,85,"g60","M - g60","6b568d"
"Distinction","M","A Level or Equivalent","35-55",2,1,1,1,840,2,3190,1014,-2.95377830178823,0.859528191008079,5044,6,172.928571428571,420,1595,507,2522,100,-1.47688915089411,0.429764095504039,"Pass","M - 35-55",18.5231108491059,5.42976409550404,86,"g60","M - g60","1134f6"
"Distinction","M","A Level or Equivalent","35-55",3,1,1,1,133689,170,472723,85023,-502.297642132991,7.88770785427274,691435,510,15346.0425685426,786,2781,500,4067,100,-2.95469201254701,0.046398281495722,"Pass","M - 35-55",17.045307987453,5.04639828149572,90,"g60","M - g60","83865d"
"Distinction","M","A Level or Equivalent","55<=",3,1,1,1,3514,4,14463,2496,-13.8631442498583,3.21520859995433,20473,12,339.666666666667,878,3616,624,5118,100,-3.46578606246459,0.803802149988583,"Pass","M - 55<=",16.5342139375354,5.80380214998858,85,"g60","M - g60","156900"
"Distinction","M","HE Qualification","0-35",1,1,1,1,598,9,3573,1007,4.89066695834365,3.32850881245463,5178,27,758.045598845599,66,397,112,575,100,0.543407439815961,0.369834312494959,"Pass","M - 0-35",20.543407439816,5.36983431249496,84,"g60","M - g60","4dd9d8"
"Distinction","M","HE Qualification","0-35",2,1,1,1,9454,36,34747,5684,-18.5600311794662,-2.18729142515191,49885,108,3176.22545787546,263,965,158,1386,100,-0.515556421651838,-0.0607580951431086,"Pass","M - 0-35",19.4844435783482,4.93924190485689,88,"g60","M - g60","cf9c92"
"Distinction","M","HE Qualification","0-35",3,1,1,0,181,1,598,0,-0.329438835233575,-0.331837211568963,779,2,94.0909090909091,181,598,0,779,66.6666666666667,-0.329438835233575,-0.331837211568963,"Pass","M - 0-35",19.6705611647664,4.66816278843104,94,"g60","M - g60","8c90ed"
"Distinction","M","HE Qualification","0-35",3,1,1,1,61662,126,260253,39967,-252.922765388367,-60.8901292921449,361882,378,11347.7886752137,489,2066,317,2872,100,-2.00732353482831,-0.483254994382102,"Pass","M - 0-35",17.9926764651717,4.5167450056179,90,"g60","M - g60","babea7"
"Distinction","M","HE Qualification","35-55",1,1,1,1,638,7,2799,246,2.29601900829157,4.94996529848184,3683,21,631.616414141414,91,400,35,526,100,0.328002715470224,0.70713789978312,"Pass","M - 35-55",20.3280027154702,5.70713789978312,90,"g60","M - g60","47fd76"
"Distinction","M","HE Qualification","35-55",2,1,1,1,20307,47,69352,16076,-62.7316914097816,24.0787712230627,105735,141,4205.17976467976,432,1476,342,2250,100,-1.33471683850599,0.51231428134176,"Pass","M - 35-55",18.665283161494,5.51231428134176,89,"g60","M - g60","f37bb4"
"Distinction","M","HE Qualification","35-55",3,1,1,1,79754,112,316328,48568,-325.394856653979,13.6586047898774,444650,336,10300.4845598846,712,2824,434,3970,100,-2.90531122012481,0.121951828481048,"Pass","M - 35-55",17.0946887798752,5.12195182848105,92,"g60","M - g60","86bb01"
"Distinction","M","HE Qualification","55<=",2,1,1,0,188,1,269,0,-0.260558129638622,0.719870426960464,457,2,95.8,188,269,0,457,66.6666666666667,-0.260558129638622,0.719870426960464,"Pass","M - 55<=",19.7394418703614,5.71987042696046,96,"g60","M - g60","01b3ee"
"Distinction","M","HE Qualification","55<=",2,1,1,1,1550,5,5333,1347,-5.78607753742353,4.06505117294071,8230,15,472.761904761905,310,1067,269,1646,100,-1.15721550748471,0.813010234588143,"Pass","M - 55<=",18.8427844925153,5.81301023458814,95,"g60","M - g60","4a65ac"
"Distinction","M","HE Qualification","55<=",3,1,1,1,8949,12,33805,7174,-37.7004907965115,9.80360916166179,49928,36,1105.1619047619,746,2817,598,4161,100,-3.14170756637596,0.816967430138483,"Pass","M - 55<=",16.858292433624,5.81696743013848,92,"g60","M - g60","57332f"
"Distinction","M","Lower Than A Level","0-35",1,1,1,1,38,1,791,128,0.758932458121227,0.558807163557218,957,3,87.2,38,791,128,957,100,0.758932458121227,0.558807163557218,"Pass","M - 0-35",20.7589324581212,5.55880716355722,87,"g60","M - g60","ba580f"
"Distinction","M","Lower Than A Level","0-35",2,0,1,1,0,3,705,457,-0.35900268811733,-3.15673859700571,1162,6,258.142857142857,0,235,152,387,66.6666666666667,-0.119667562705777,-1.0522461990019,"Pass","M - 0-35",19.8803324372942,3.9477538009981,86,"g60","M - g60","ca5f05"
"Distinction","M","Lower Than A Level","0-35",2,1,1,1,47156,127,168388,32067,-108.638770114481,-35.7837781634737,247611,381,11356.4611693862,371,1326,252,1950,100,-0.855423386728198,-0.281762032783257,"Pass","M - 0-35",19.1445766132718,4.71823796721674,89,"g60","M - g60","e2165b"
"Distinction","M","Lower Than A Level","0-35",3,1,1,1,72507,85,313904,47871,-285.385484185981,-40.5173714343044,434282,255,7567.18888888889,853,3693,563,5109,100,-3.35747628454095,-0.476674958050639,"Pass","M - 0-35",16.642523715459,4.52332504194936,89,"g60","M - g60","792363"
"Distinction","M","Lower Than A Level","35-55",2,1,1,1,26389,57,107080,17367,-78.4317418056534,13.6057129692365,150836,171,5061.14044011544,463,1879,305,2646,100,-1.37599547027462,0.238696718758535,"Pass","M - 35-55",18.6240045297254,5.23869671875854,89,"g60","M - g60","25e314"
"Distinction","M","Lower Than A Level","35-55",3,1,1,1,48074,46,183159,25595,-178.028055347612,-0.866418281021301,256828,138,4132.06565656566,1045,3982,556,5583,100,-3.87017511625244,-0.0188351800222022,"Pass","M - 35-55",16.1298248837476,4.9811648199778,90,"g60","M - g60","8c7a08"
"Distinction","M","No Formal quals","0-35",2,1,1,1,1042,1,3793,1086,-4.03584313179981,1.12779579900231,5921,3,93,1042,3793,1086,5921,100,-4.03584313179981,1.12779579900231,"Pass","M - 0-35",15.9641568682002,6.12779579900231,93,"g60","M - g60","80f8bc"
"Distinction","M","No Formal quals","0-35",3,1,1,1,2142,3,8921,970,-9.13737026293063,-1.5093223687343,12033,9,260.916666666667,714,2974,323,4011,100,-3.04579008764354,-0.503107456244768,"Pass","M - 0-35",16.9542099123565,4.49689254375523,87,"g60","M - g60","31e167"
"Distinction","M","No Formal quals","35-55",2,1,1,1,1,1,479,225,-0.934799624611983,-0.202678211449909,705,3,92.2222222222222,1,479,225,705,100,-0.934799624611983,-0.202678211449909,"Pass","M - 35-55",19.065200375388,4.79732178855009,92,"g60","M - g60","d61d85"
"Distinction","M","No Formal quals","35-55",3,1,1,1,657,1,2593,663,-3.37539937169034,0.0205548606669246,3913,3,87.25,657,2593,663,3913,100,-3.37539937169034,0.0205548606669246,"Pass","M - 35-55",16.6246006283097,5.02055486066693,87,"g60","M - g60","043204"
"Distinction","M","Post Graduate Qualification","0-35",2,1,1,1,389,2,1530,446,-1.09527778331014,-0.129572795880143,2365,6,172.428571428572,194,765,223,1182,100,-0.547638891655071,-0.0647863979400713,"Pass","M - 0-35",19.4523611083449,4.93521360205993,86,"g60","M - g60","086b48"
"Distinction","M","Post Graduate Qualification","0-35",3,1,1,1,3517,10,11765,1304,-12.3913999429614,-3.95088156894269,16586,30,929.488888888889,352,1176,130,1659,100,-1.23913999429614,-0.395088156894269,"Pass","M - 0-35",18.7608600057039,4.60491184310573,93,"g60","M - g60","7932e1"
"Distinction","M","Post Graduate Qualification","35-55",2,1,1,1,2767,6,7809,3147,-10.090715706961,4.18218590145986,13723,18,558.619047619048,461,1302,524,2287,100,-1.68178595116017,0.697030983576644,"Pass","M - 35-55",18.3182140488398,5.69703098357664,93,"g60","M - g60","9ce43c"
"Distinction","M","Post Graduate Qualification","35-55",3,1,1,1,9609,25,39799,8710,-48.5980899156684,1.31653858122291,58118,75,2332.54159451659,384,1592,348,2325,100,-1.94392359662674,0.0526615432489162,"Pass","M - 35-55",18.0560764033733,5.05266154324892,93,"g60","M - g60","e784a4"
"Distinction","M","Post Graduate Qualification","55<=",2,1,1,1,368,2,1902,371,-1.95420317556958,1.55301494425888,2641,6,189.285714285714,184,951,186,1320,100,-0.977101587784792,0.776507472129441,"Pass","M - 55<=",19.0228984122152,5.77650747212944,95,"g60","M - g60","4b203e"
"Distinction","M","Post Graduate Qualification","55<=",3,1,1,1,4546,4,13073,1956,-14.2839719336552,4.92947852280368,19575,12,361.6,1136,3268,489,4894,100,-3.5709929834138,1.23236963070092,"Pass","M - 55<=",16.4290070165862,6.23236963070092,90,"g60","M - g60","b7f748"
"Fail","F","A Level or Equivalent","0-35",1,0,1,0,0,12,874,0,24.8353912047352,-0.165705699861313,874,12,406.857142857143,0,73,0,73,33.3333333333333,2.06961593372794,-0.0138088083217761,"Fail","F - 0-35",22.0696159337279,4.98619119167822,34,"l60","F - l60","202a9a"
"Fail","F","A Level or Equivalent","0-35",1,0,1,1,0,9,1383,362,13.8824298418938,0.700412856793862,1745,18,526.324494949495,0,154,40,194,66.6666666666667,1.54249220465487,0.0778236507548735,"Fail","F - 0-35",21.5424922046549,5.07782365075487,58,"l60","F - l60","2c4823"
"Fail","F","A Level or Equivalent","0-35",1,1,0,0,3505,74,0,0,174.239479989282,5.10446632528706,3505,74,1549.16666666667,47,0,0,47,33.3333333333333,2.35458756742273,0.0689792746660413,"Fail","F - 0-35",22.3545875674227,5.06897927466604,21,"l60","F - l60","954037"
"Fail","F","A Level or Equivalent","0-35",1,1,0,1,29,1,0,2,2.75963814614091,0.0209618760253489,31,2,0,29,0,2,31,66.6666666666667,2.75963814614091,0.0209618760253489,"Fail","F - 0-35",22.7596381461409,5.02096187602535,0,"l60","F - l60","be649c"
"Fail","F","A Level or Equivalent","0-35",1,1,1,0,38490,360,64687,0,638.596835151693,246.366230669405,103177,720,22811.1057720058,107,180,0,287,66.6666666666667,1.77388009764359,0.684350640748347,"Fail","F - 0-35",21.7738800976436,5.68435064074835,63,"g60","F - g60","0576f2"
"Fail","F","A Level or Equivalent","0-35",1,1,1,1,47371,265,143302,24901,373.427040814674,198.861657873177,215574,795,16597.8972194472,179,541,94,813,100,1.40915864458368,0.750421350464818,"Fail","F - 0-35",21.4091586445837,5.75042135046482,63,"g60","F - g60","a3ceab"
"Fail","F","A Level or Equivalent","0-35",2,1,1,0,324,3,1027,0,4.00903650418823,-0.612724766991851,1351,6,141.8,108,342,0,450,66.6666666666667,1.33634550139608,-0.204241588997284,"Fail","F - 0-35",21.3363455013961,4.79575841100272,47,"l60","F - l60","dcfda8"
"Fail","F","A Level or Equivalent","0-35",2,1,1,1,2175,10,7103,784,9.52244164356757,-0.84258853064246,10062,30,478.302808302808,218,710,78,1006,100,0.952244164356757,-0.084258853064246,"Fail","F - 0-35",20.9522441643568,4.91574114693575,48,"l60","F - l60","889e81"
"Fail","F","A Level or Equivalent","0-35",3,1,0,0,157,1,0,0,1.17887772097856,-1.82658672757059,157,1,0,157,0,0,157,33.3333333333333,1.17887772097856,-1.82658672757059,"Fail","F - 0-35",21.1788777209786,3.17341327242941,0,"l60","F - l60","23fa46"
"Fail","F","A Level or Equivalent","0-35",3,1,1,0,9911,18,16239,0,-7.51867881875311,-8.64446546622291,26150,36,1406.36904761905,551,902,0,1453,66.6666666666667,-0.417704378819617,-0.480248081456828,"Fail","F - 0-35",19.5822956211804,4.51975191854317,78,"g60","F - g60","ad70a3"
"Fail","F","A Level or Equivalent","0-35",3,1,1,1,10407,20,40560,15362,-32.9308266008476,-4.57585170979807,66329,60,1243.08896103896,520,2028,768,3316,100,-1.64654133004238,-0.228792585489904,"Fail","F - 0-35",18.3534586699576,4.7712074145101,62,"g60","F - g60","6af622"
"Fail","F","A Level or Equivalent","35-55",1,0,1,0,0,8,302,0,12.3701250444589,3.17777892551525,302,8,436.5,0,38,0,38,33.3333333333333,1.54626563055736,0.397222365689406,"Fail","F - 35-55",21.5462656305574,5.39722236568941,55,"l60","F - l60","3ba9ab"
"Fail","F","A Level or Equivalent","35-55",1,0,1,1,0,3,380,264,3.80267201827244,0.473997871407737,644,6,152.678571428572,0,127,88,215,66.6666666666667,1.26755733942415,0.157999290469246,"Fail","F - 35-55",21.2675573394241,5.15799929046925,51,"l60","F - l60","7fdc68"
"Fail","F","A Level or Equivalent","35-55",1,1,0,0,493,19,0,0,41.152012865305,6.53717068010226,493,19,391.333333333333,26,0,0,26,33.3333333333333,2.16589541396342,0.344061614742224,"Fail","F - 35-55",22.1658954139634,5.34406161474222,21,"l60","F - l60","579aeb"
"Fail","F","A Level or Equivalent","35-55",1,1,1,0,13723,97,19976,0,152.21397614408,97.6340132039245,33699,194,5906.67510822511,141,206,0,347,66.6666666666667,1.56921624890804,1.00653621859716,"Fail","F - 35-55",21.569216248908,6.00653621859716,61,"g60","F - g60","d559a3"
"Fail","F","A Level or Equivalent","35-55",1,1,1,1,17775,66,57625,7491,63.9469392278831,79.3421226129462,82891,198,4197.54761904762,269,873,114,1256,100,0.968893018604289,1.20215337292343,"Fail","F - 35-55",20.9688930186043,6.20215337292343,64,"g60","F - g60","0a5b08"
"Fail","F","A Level or Equivalent","35-55",2,1,0,0,50,2,0,0,3.78049587558112,-1.11594676946887,50,2,0,25,0,0,25,33.3333333333333,1.89024793779056,-0.557973384734434,"Fail","F - 35-55",21.8902479377906,4.44202661526557,0,"l60","F - l60","ab8ba6"
"Fail","F","A Level or Equivalent","35-55",2,1,1,1,123,1,633,6,1.08086877746891,0.13656663534078,762,3,42.4545454545455,123,633,6,762,100,1.08086877746891,0.13656663534078,"Fail","F - 35-55",21.0808687774689,5.13656663534078,42,"l60","F - l60","dc4eb6"
"Fail","F","A Level or Equivalent","35-55",3,1,0,0,43,1,0,0,1.15648038011614,-1.49108733823039,43,1,0,43,0,0,43,33.3333333333333,1.15648038011614,-1.49108733823039,"Fail","F - 35-55",21.1564803801161,3.50891266176961,0,"l60","F - l60","bdf3aa"
"Fail","F","A Level or Equivalent","35-55",3,1,1,0,4173,4,7438,0,-5.99476745891543,-0.429158538446622,11611,8,265.3,1043,1860,0,2903,66.6666666666667,-1.49869186472886,-0.107289634611656,"Fail","F - 35-55",18.5013081352711,4.89271036538834,66,"g60","F - g60","936798"
"Fail","F","A Level or Equivalent","35-55",3,1,1,1,3099,4,7088,2014,-7.29386782240473,0.597460108138896,12201,12,290.907575757576,775,1772,504,3050,100,-1.82346695560118,0.149365027034724,"Fail","F - 35-55",18.1765330443988,5.14936502703472,73,"g60","F - g60","03fa91"
"Fail","F","A Level or Equivalent","55<=",3,1,1,1,969,1,1849,22,-1.2275997020565,-0.246642055167963,2840,3,30.4,969,1849,22,2840,100,-1.2275997020565,-0.246642055167963,"Fail","F - 55<=",18.7724002979435,4.75335794483204,30,"l60","F - l60","c0a9c6"
"Fail","F","HE Qualification","0-35",1,0,1,0,0,3,72,0,6.20051611678614,1.67351229258066,72,3,142.545454545455,0,24,0,24,33.3333333333333,2.06683870559538,0.557837430860219,"Fail","F - 0-35",22.0668387055954,5.55783743086022,48,"l60","F - l60","65882d"
